id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
hm,meet,i,en,299.52,2602.98,174.78,303.53,294.95,296.51,284.96,317.66,2524.98,2590.05,2636.76,2647.96,2615.15
hm,beat,i,en,245.30,2544.12,156.12,261.46,249.10,238.57,243.58,233.79,2484.78,2554.22,2546.29,2584.07,2551.21
hm,feet,i,en,275.58,2419.51,307.80,299.56,309.10,255.88,251.26,262.11,2425.67,2438.79,2455.11,2332.60,2445.39
hm,seat,i,en,268.68,2406.86,513.20,243.28,274.82,293.75,269.76,261.78,2126.26,2427.44,2536.65,2499.22,2444.73
hm,heat,i,en,262.31,2460.54,134.44,250.72,256.97,257.95,266.11,279.79,2386.57,2475.20,2481.37,2491.17,2468.37
hm,fleet,i,en,245.27,2511.84,85.08,265.55,237.38,240.60,237.19,245.65,2498.45,2529.63,2515.86,2519.00,2496.25
hm,moss,a,en,582.45,966.08,452.73,568.24,583.27,585.38,602.98,572.37,858.24,817.48,874.09,1057.49,1223.08
hm,bot,a,en,661.80,1074.86,216.05,676.70,709.46,648.23,642.31,632.29,1076.43,1057.04,1041.12,1046.85,1152.86
hm,fought,a,en,524.26,655.74,330.46,520.55,499.31,493.41,556.49,551.56,523.89,607.39,669.49,680.03,797.89
hm,sought,a,en,556.38,907.37,368.45,494.30,558.55,565.48,582.72,580.85,957.43,851.40,820.36,877.22,1030.46
hm,caught,a,en,557.65,826.43,190.58,552.88,551.65,566.40,555.10,562.20,731.47,800.97,854.42,846.87,898.43
hm,brought,a,en,571.23,905.43,386.20,497.27,571.33,559.72,611.60,616.21,915.53,914.76,891.21,808.65,996.98
hm,moot,u,en,322.49,1638.69,837.63,251.49,341.18,338.56,340.39,340.82,2170.94,1652.78,1586.32,1442.34,1341.08
hm,boot,u,en,323.57,1621.24,333.15,312.28,320.93,329.50,327.34,327.82,1531.46,1718.60,1659.86,1622.77,1573.49
hm,food,u,en,317.18,1235.16,404.29,322.29,318.58,314.64,314.45,315.95,1469.81,1216.75,1128.08,1170.71,1190.47
hm,soothe,u,en,302.71,1719.93,388.03,302.89,293.22,295.93,305.32,316.17,1818.12,1711.91,1617.96,1648.13,1803.55
hm,cooed,u,en,302.98,1318.70,649.22,305.24,302.37,302.07,298.77,306.47,1471.11,1237.73,1165.78,1209.45,1509.43
hm,dude,u,en,304.05,1945.99,135.31,297.11,297.81,301.76,308.11,315.48,1965.28,1951.89,1941.63,1974.25,1896.91
hm,mis,i,sp,321.80,2446.75,83.54,321.02,312.54,317.45,326.80,331.17,2434.62,2470.41,2466.14,2431.51,2431.06
hm,bis,i,sp,297.26,2345.10,118.89,285.41,287.96,270.15,303.76,339.04,2345.03,2361.50,2364.95,2336.40,2317.60
hm,pis,i,sp,272.90,2183.02,705.13,253.68,253.24,256.13,280.37,321.10,1808.93,2295.74,2352.29,2244.94,2213.18
hm,cito,i,sp,236.11,2376.40,1378.49,238.15,257.32,245.36,232.40,207.30,2143.50,2287.77,2544.83,2808.54,2097.38
hm,fito,i,sp,239.02,2390.64,342.02,247.01,235.04,230.24,247.40,235.42,2317.26,2368.27,2426.89,2498.66,2342.11
hm,quito,i,sp,247.96,2207.79,991.49,259.46,259.29,250.93,248.41,221.71,2154.40,2424.30,2447.53,2261.37,1751.35
hm,mas,a,sp,637.68,1315.21,291.58,640.13,638.33,713.19,662.57,534.19,1264.59,1277.47,1305.27,1348.00,1380.71
hm,vas,a,sp,637.18,1230.28,194.72,607.58,645.77,651.68,645.94,634.93,1125.83,1226.82,1258.19,1248.99,1291.56
hm,pasa,a,sp,617.51,1336.61,323.95,639.92,660.53,647.02,659.58,480.52,1274.54,1279.43,1314.56,1398.91,1415.61
hm,sala,a,sp,615.23,1339.63,274.38,608.14,651.30,624.79,637.96,553.94,1426.56,1359.36,1286.13,1315.77,1310.30
hm,fama,a,sp,529.11,1141.11,661.82,633.80,600.30,575.95,532.10,303.38,1126.46,1142.19,1224.25,1000.69,1211.99
hm,cama,a,sp,535.17,1299.99,609.12,610.98,531.03,539.55,546.21,448.10,1444.95,1396.72,1397.65,1359.19,901.45
hm,musa,u,sp,274.26,1408.34,2636.36,258.04,241.09,239.22,318.93,314.04,1203.59,1989.79,2244.56,951.90,651.84
hm,bulto,u,sp,275.33,1529.75,1739.02,230.59,246.13,237.55,333.62,328.75,1919.51,2009.40,1445.32,1591.58,682.94
hm,puso,u,sp,337.22,1152.02,747.23,332.12,338.16,343.30,343.39,329.14,755.86,977.92,1176.30,1347.73,1502.28
hm,supo,u,sp,301.13,843.73,1457.00,314.35,327.53,309.95,246.24,307.57,941.35,413.11,392.41,1206.77,1265.01
hm,fumo,u,sp,313.57,849.25,618.94,336.42,337.46,338.02,297.43,258.55,630.31,674.15,709.10,1157.09,1075.58
hm,cura,u,sp,327.98,605.98,705.96,306.86,333.23,325.76,328.36,345.72,521.40,377.63,504.50,689.83,936.57
